C10,RJ45_5P,LA06_P
C11,RJ45_5N,LA06_N
C22,RJ45_15P,LA18_P_CC
C23,RJ45_15N,LA18_N_CC
D8,RJ45_7P,LA01_P_CC
D9,RJ45_7N,LA01_N_CC
D20,RJ45_11P,LA17_P_CC
D21,RJ45_11N,LA17_N_CC
E2,RJ45_2P,HA01_P_CC
E3,RJ45_2N,HA01_N_CC
G6,RJ45_3P,LA00_P_CC
G7,RJ45_3N,LA00_N_CC
G9,RJ45_4P,LA03_P
G10,RJ45_4N,LA03_N
G12,LED1,LA08_P
G13,LED2,LA08_N
G18,RJ45_8P,LA16_P
G19,RJ45_8N,LA16_N
G21,LED3,LA20_P
G22,LED4,LA20_N
G27,LED5,LA25_P
G28,LED6,LA25_N
G30,RJ45_13P,LA29_P
G31,RJ45_13N,LA29_N
G36,LED7,LA33_P
G37,LED8,LA33_N
H7,RJ45_1P,LA02_P
H8,RJ45_1N,LA02_N
H22,RJ45_9P,LA19_P
H23,RJ45_9N,LA19_N
H28,RJ45_12P,LA24_P
H29,RJ45_12N,LA24_N
H34,RJ45_16P,LA30_P
H35,RJ45_16N,LA30_N
K16,RJ45_6P,HA17_P_CC
K17,RJ45_6N,HA17_N_CC
K28,RJ45_10P,HB06_P_CC
K29,RJ45_10N,HB06_N_CC
K37,RJ45_14P,HB17_P_CC
K38,RJ45_14N,HB17_N_CC
